                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.8599,                 1.5296,                 1.8847,                0.66019,                0.60127,                 0.6491,                0.32425,                 1.7378,                 1.4688,                 1.8929,              0.0014931,              0.0014931,              0.0014931
                    130,                 1.8833,                 1.5984,                 1.9216,                0.66007,                0.60601,                0.64443,                0.31144,                 1.7243,                 1.4753,                 1.8672,              0.0014892,              0.0014892,              0.0014892
                    131,                 1.8621,                   1.57,                 1.9362,                0.63883,                0.59652,                0.63163,                 0.3104,                 1.7364,                 1.4983,                 1.8797,              0.0014852,              0.0014852,              0.0014852
                    132,                 1.8887,                 1.5547,                 1.9145,                0.60784,                0.54905,                0.59961,                0.29163,                 1.7829,                 1.5475,                 1.9043,              0.0014812,              0.0014812,              0.0014812
                    133,                 1.8616,                 1.5517,                 1.9066,                0.66504,                0.56013,                0.64262,                0.32048,                 1.7399,                 1.4737,                 1.8738,              0.0014773,              0.0014773,              0.0014773
                    134,                 1.9118,                 1.5629,                 1.9359,                0.64954,                0.59335,                0.64949,                0.32701,                 1.7056,                 1.4567,                 1.8438,              0.0014733,              0.0014733,              0.0014733
                    135,                 1.8961,                 1.6082,                 1.9444,                0.63988,                 0.5625,                0.62598,                0.30944,                 1.7505,                 1.5216,                 1.8779,              0.0014694,              0.0014694,              0.0014694
                    136,                  1.862,                 1.5677,                 1.9424,                0.66047,                0.59335,                 0.6639,                0.33216,                 1.7098,                 1.4197,                 1.8456,              0.0014654,              0.0014654,              0.0014654
                    137,                 1.8458,                 1.5027,                 1.8787,                0.64182,                0.59889,                0.65078,                 0.3262,                 1.7294,                 1.4289,                 1.8637,              0.0014614,              0.0014614,              0.0014614
                    138,                 1.8775,                 1.5297,                  1.889,                0.66633,                0.61472,                0.67159,                0.33945,                 1.7085,                 1.4014,                 1.8595,              0.0014575,              0.0014575,              0.0014575
                    139,                 1.8642,                  1.486,                  1.862,                0.67563,                0.59984,                0.67007,                0.32832,                 1.7205,                 1.4384,                 1.8589,              0.0014535,              0.0014535,              0.0014535
                    140,                 1.8764,                  1.615,                 1.9455,                0.64336,                0.57595,                0.63534,                0.30782,                 1.7234,                 1.4926,                 1.8538,              0.0014496,              0.0014496,              0.0014496
                    141,                 1.8871,                 1.5505,                 1.9132,                0.66741,                0.60601,                0.67136,                0.33867,                 1.6874,                 1.4425,                 1.8298,              0.0014456,              0.0014456,              0.0014456
                    142,                 1.8068,                 1.5146,                 1.8577,                0.60703,                0.60371,                0.61362,                0.29349,                  1.788,                 1.4987,                 1.9072,              0.0014416,              0.0014416,              0.0014416
                    143,                 1.8571,                 1.5551,                 1.9203,                0.63314,                 0.6068,                0.64188,                0.31294,                 1.7579,                 1.4314,                 1.8854,              0.0014377,              0.0014377,              0.0014377
                    144,                 1.8696,                 1.4855,                 1.8657,                0.68366,                0.56936,                0.65878,                0.33461,                 1.6845,                 1.4132,                 1.8146,              0.0014337,              0.0014337,              0.0014337
                    145,                 1.8648,                 1.5031,                 1.8817,                0.63299,                0.57172,                0.62558,                  0.306,                 1.7185,                 1.4195,                 1.8417,              0.0014298,              0.0014298,              0.0014298
                    146,                  1.836,                 1.5095,                 1.8686,                0.63852,                0.62421,                0.66173,                0.34775,                  1.642,                 1.3759,                 1.7927,              0.0014258,              0.0014258,              0.0014258
                    147,                 1.7932,                 1.4561,                 1.8177,                0.64682,                0.63054,                0.67025,                0.35662,                 1.6305,                 1.3625,                 1.7856,              0.0014218,              0.0014218,              0.0014218
